,date,PRCP,TAVG,TMAX,TMIN,transactions,dollar_amount,isSunday,isHoliday
0,2021-01-31,0.0,12.7,20.0,7.2,210.0,83.2,1,0
1,2021-02-01,0.0,16.6,22.2,13.9,11008.0,12790.22000000003,0,0
2,2021-02-02,0.0,16.8,19.4,14.4,11090.0,13520.16000000002,0,0
3,2021-02-03,0.0,14.9,16.7,12.8,11658.0,13841.360000000008,0,0
4,2021-02-04,0.0,15.2,17.2,11.7,11391.0,13908.26999999999,0,0
5,2021-02-05,0.0,13.9,18.9,8.9,12362.0,14989.049999999992,0,0
6,2021-02-06,0.0,14.1,20.6,7.8,12726.0,16791.960000000003,0,0
7,2021-02-07,0.0,13.4,19.4,9.4,185.0,69.65000000000002,1,0
8,2021-02-08,0.0,13.6,15.6,12.2,14824.0,18514.540000000005,0,0
9,2021-02-09,0.0,14.4,16.7,13.3,15942.0,20631.089999999986,0,0
10,2021-02-10,0.0,14.7,17.2,11.7,16311.0,21345.170000000002,0,0
11,2021-02-11,0.0,13.8,19.4,9.4,17353.0,22417.879999999943,0,0
12,2021-02-12,0.8,15.8,18.3,11.7,18274.0,23969.539999999957,0,0
13,2021-02-13,0.3,14.2,17.2,11.1,18339.0,25212.46999999998,0,0
14,2021-02-14,0.0,15.1,18.9,11.1,345.0,127.84999999999992,1,0
15,2021-02-15,0.0,13.7,17.8,9.4,1154.0,374.40000000000066,0,1
16,2021-02-16,1.5,15.5,17.8,12.8,16626.0,21599.839999999997,0,0
17,2021-02-17,0.0,14.2,17.8,9.4,17488.0,22588.39999999999,0,0
18,2021-02-18,0.0,14.2,20.6,7.8,17518.0,22697.40999999995,0,0
19,2021-02-19,0.0,13.8,20.0,7.2,18372.0,24292.599999999984,0,0
20,2021-02-20,0.0,13.9,18.9,8.9,17739.0,24416.179999999993,0,0
21,2021-02-21,0.0,15.7,27.8,7.8,245.0,88.89999999999999,1,0
22,2021-02-22,0.0,16.5,25.6,7.2,16206.0,21057.639999999974,0,0
23,2021-02-23,0.0,16.7,23.9,8.3,17233.0,22362.47999999993,0,0
24,2021-02-24,0.0,15.6,20.0,9.4,17586.0,23247.769999999982,0,0
25,2021-02-25,0.0,16.2,21.7,10.0,18224.0,23798.20999999994,0,0
26,2021-02-26,0.0,15.4,23.3,7.8,19418.0,25729.979999999945,0,0
27,2021-02-27,0.0,15.2,18.3,10.6,18560.0,25713.559999999998,0,0
28,2021-02-28,0.0,15.6,23.3,8.9,278.0,97.64999999999998,1,0
29,2021-03-01,0.0,15.6,25.0,7.8,17019.0,21592.700000000008,0,0
30,2021-03-02,0.0,14.8,22.2,6.7,17438.0,22542.499999999956,0,0
31,2021-03-03,14.7,14.0,17.2,9.4,15300.0,21385.740000000016,0,0
32,2021-03-04,0.0,14.5,18.9,11.1,19125.0,24878.529999999922,0,0
33,2021-03-05,0.0,14.7,20.6,9.4,20178.0,26607.529999999937,0,0
34,2021-03-06,0.0,15.4,19.4,11.7,18896.0,26496.439999999984,0,0
35,2021-03-07,0.0,15.1,17.8,11.7,216.0,76.45,1,0
36,2021-03-08,0.0,15.7,17.8,13.3,17244.0,22425.940000000013,0,0
37,2021-03-09,0.0,14.7,17.8,10.6,18433.0,24112.77999999994,0,0
38,2021-03-10,4.6,14.5,17.2,11.1,17409.0,22954.049999999923,0,0
39,2021-03-11,12.4,13.3,15.6,10.0,18546.0,24299.609999999924,0,0
40,2021-03-12,0.0,12.4,16.1,9.4,20234.0,27005.109999999953,0,0
41,2021-03-13,0.0,13.6,17.8,11.1,19119.0,26951.79999999997,0,0
42,2021-03-14,0.0,14.6,17.2,12.8,253.0,93.39999999999999,1,0
43,2021-03-15,4.3,14.2,15.0,12.2,15565.0,20909.310000000034,0,0
44,2021-03-16,0.3,12.9,16.1,10.0,18584.0,24779.429999999928,0,0
45,2021-03-17,0.0,12.4,16.7,7.8,19511.0,26275.339999999927,0,0
46,2021-03-18,0.0,13.9,17.2,10.0,19912.0,26013.55999999986,0,0
47,2021-03-19,0.0,14.5,19.4,10.0,20620.0,28103.19999999992,0,0
48,2021-03-20,0.0,16.1,18.9,12.2,19195.0,27387.249999999905,0,0
49,2021-03-21,0.0,14.0,17.8,10.0,311.0,123.34999999999995,1,0
50,2021-03-22,0.0,14.8,18.9,9.4,18557.0,23966.98999999996,0,0
51,2021-03-23,0.3,15.3,17.8,13.3,18888.0,25253.079999999936,0,0
52,2021-03-24,0.0,14.9,18.9,10.6,19840.0,26215.619999999923,0,0
53,2021-03-25,0.8,15.3,16.7,12.8,19334.0,25978.779999999962,0,0
54,2021-03-26,0.3,14.2,17.8,11.7,21178.0,28445.639999999887,0,0
55,2021-03-27,0.0,14.9,22.8,8.9,19476.0,27636.769999999888,0,0
56,2021-03-28,0.0,18.0,27.8,10.0,312.0,108.84999999999998,1,0
57,2021-03-29,0.0,18.2,22.2,11.1,19020.0,24697.519999999975,0,0
58,2021-03-30,0.0,16.2,19.4,14.4,20292.0,26415.51999999992,0,0
59,2021-03-31,0.0,18.5,31.1,11.7,3612.0,1276.6899999999994,0,1
60,2021-04-01,0.0,23.1,31.1,13.9,20452.0,27288.029999999915,0,0
61,2021-04-02,0.0,19.0,20.6,15.0,21219.0,28983.21999999994,0,0
62,2021-04-03,0.0,16.7,20.0,14.4,19531.0,27818.70999999994,0,0
63,2021-04-04,0.0,16.5,22.8,13.3,230.0,86.84999999999997,1,0
64,2021-04-05,0.0,16.8,19.4,14.4,18405.0,24283.72999999994,0,0
65,2021-04-06,0.0,16.8,20.6,14.4,19775.0,26309.069999999996,0,0
66,2021-04-07,0.0,17.1,22.8,13.3,20546.0,27101.429999999913,0,0
67,2021-04-08,0.0,17.3,21.1,14.4,20407.0,27204.85999999994,0,0
68,2021-04-09,0.0,17.3,21.1,15.0,21084.0,28354.939999999944,0,0
69,2021-04-10,0.0,17.9,21.1,15.0,19805.0,28025.11999999995,0,0
70,2021-04-11,0.0,16.9,19.4,13.9,354.0,144.03999999999996,1,0
71,2021-04-12,0.0,16.9,19.4,15.6,18212.0,23811.419999999966,0,0
72,2021-04-13,0.0,16.1,16.7,15.0,18640.0,25406.229999999934,0,0
73,2021-04-14,0.0,15.8,17.8,14.4,19160.0,25767.289999999935,0,0
74,2021-04-15,0.0,15.7,18.9,12.2,20064.0,26939.86999999997,0,0
75,2021-04-16,0.0,16.2,20.0,13.9,20800.0,28359.199999999953,0,0
76,2021-04-17,0.0,16.8,19.4,15.0,19579.0,27848.60999999991,0,0
77,2021-04-18,0.0,18.3,27.8,15.0,373.0,126.89999999999993,1,0
78,2021-04-19,0.0,20.3,26.7,12.2,18399.0,23966.359999999924,0,0
79,2021-04-20,0.0,17.2,18.9,15.0,19062.0,25549.12999999996,0,0
