,zone,pole,lat,lng
0,Downtown,1-1004,32.715904,-117.163929
1,Downtown,1-1006,32.716037,-117.16393
2,Downtown,1-1008,32.716169,-117.163931
3,Downtown,1-1020,32.71789,-117.161278
4,Downtown,1-1310,32.719024,-117.163951
5,Downtown,1-1312,32.719161,-117.163952
6,Downtown,1-1313,32.719306,-117.164399
7,Downtown,1-1314,32.719453,-117.163953
8,Downtown,1-1315,32.719407,-117.164024
9,Downtown,1-1317,32.719515,-117.164249
10,Downtown,1-1400,32.72008,-117.163956
11,Downtown,1-1402,32.720212,-117.163956
12,Downtown,1-1410,32.720345,-117.163957
13,Downtown,1-1412,32.720496,-117.163957
14,Downtown,1-1420,32.720629,-117.163958
15,Downtown,1-1424,32.720761,-117.163959
16,Downtown,1-1500,32.721055,-117.163959
17,Downtown,1-1502,32.721131,-117.163959
18,Downtown,1-1504,32.721227,-117.16396
19,Downtown,1-1506,32.721303,-117.16396
20,Downtown,1-1508,32.72138,-117.16396
21,Downtown,1-1510,32.721456,-117.16396
22,Downtown,1-1512,32.721532,-117.16396
23,Downtown,1-1514,32.721609,-117.16396
24,Downtown,1-1516,32.721704,-117.16396
25,Downtown,1-1518,32.721781,-117.16396
26,Downtown,1-1524,32.721857,-117.16396
27,Downtown,1-1526,32.721968,-117.16396
28,Uptown,1-2001,32.726293,-117.163823
29,Uptown,1-2005,32.72641,-117.163823
30,Uptown,1-2007,32.726507,-117.163824
31,Uptown,1-2009,32.726623,-117.163825
32,Uptown,1-2011,32.72672,-117.163826
33,Uptown,1-2013,32.726836,-117.163827
34,Uptown,1-2015,32.726933,-117.163827
35,Uptown,1-2021,32.727049,-117.163828
36,Uptown,1-2320,32.730043,-117.164148
37,Uptown,2001-01-01 00:00:00,32.726293,-117.163823
38,Uptown,2005-01-01 00:00:00,32.72641,-117.163823
39,Uptown,2007-01-01 00:00:00,32.726507,-117.163824
40,Uptown,2009-01-01 00:00:00,32.726623,-117.163825
41,Uptown,2011-01-01 00:00:00,32.72672,-117.163826
42,Uptown,2013-01-01 00:00:00,32.726836,-117.163827
43,Uptown,2015-01-01 00:00:00,32.726933,-117.163827
44,Uptown,2021-01-01 00:00:00,32.727049,-117.163828
45,Uptown,2320-01-01 00:00:00,32.730043,-117.164148
46,Uptown,1-2118,32.7275,-117.164013
47,Uptown,2118-01-01 00:00:00,32.7275,-117.164013
48,Uptown,1-2214,32.728391,-117.164016
49,Uptown,1-2215,32.728483,-117.163831
50,Uptown,1-2217,32.728578,-117.163829
51,Uptown,1-2219,32.728673,-117.163827
52,Uptown,1-2221,32.728768,-117.163825
53,Uptown,1-2222,32.728866,-117.164005
54,Uptown,1-2223,32.728959,-117.163821
55,Uptown,1-2224,32.729057,-117.164
56,Uptown,1-2225,32.729149,-117.163816
57,Uptown,2214-01-01 00:00:00,32.728391,-117.164016
58,Uptown,2215-01-01 00:00:00,32.728483,-117.163831
59,Uptown,2217-01-01 00:00:00,32.728578,-117.163829
60,Uptown,2219-01-01 00:00:00,32.728673,-117.163827
61,Uptown,2221-01-01 00:00:00,32.728768,-117.163825
62,Uptown,2222-01-01 00:00:00,32.728866,-117.164005
63,Uptown,2223-01-01 00:00:00,32.728959,-117.163821
64,Uptown,2224-01-01 00:00:00,32.729057,-117.164
65,Uptown,2225-01-01 00:00:00,32.729149,-117.163816
66,Uptown,1-2309,32.729446,-117.163815
67,Uptown,1-2312,32.729579,-117.163998
68,Uptown,1-2314,32.729695,-117.163999
69,Uptown,1-2316,32.72981,-117.164
70,Uptown,1-2318,32.729925,-117.164
71,Uptown,2309-01-01 00:00:00,32.729446,-117.163815
72,Uptown,2312-01-01 00:00:00,32.729579,-117.163998
73,Uptown,2314-01-01 00:00:00,32.729695,-117.163999
74,Uptown,2316-01-01 00:00:00,32.72981,-117.164
75,Uptown,2318-01-01 00:00:00,32.729925,-117.164
76,Downtown,1-305,32.709398,-117.163786
77,Downtown,1-307,32.709169,-117.163659
78,Downtown,1-309,32.70922,-117.163659
79,Downtown,1-710,32.712703,-117.163906
80,Downtown,1-712,32.712961,-117.163956
81,Downtown,1-714,32.712791,-117.163723
82,Downtown,1-715,32.712958,-117.163726
83,Downtown,1-716,32.713162,-117.163921
84,Downtown,1-717,32.713134,-117.163727
85,Downtown,1-719,32.713212,-117.163728
86,Downtown,1-721,32.713309,-117.163728
87,Downtown,1-723,32.713388,-117.163729
88,Downtown,1-725,32.713485,-117.16373
89,Downtown,1-800,32.714179,-117.163914
90,Downtown,1-802,32.714395,-117.163916
91,Downtown,10-1001,32.715971,-117.155529
92,Downtown,10-1003,32.716162,-117.15553
93,Downtown,10-1005,32.716354,-117.155531
94,Downtown,10-1023,32.716545,-117.155533
95,Downtown,10-1103,32.716918,-117.155535
96,Downtown,10-1105,32.717035,-117.155536
97,Downtown,10-1107,32.717131,-117.155536
98,Downtown,10-1109,32.717247,-117.155537
99,Downtown,10-1111,32.717344,-117.155538
100,Downtown,10-1113,32.71746,-117.155538
101,Downtown,10-1115,32.717349,-117.155588
102,Downtown,10-1117,32.717342,-117.155572
103,Downtown,10-1118,32.717594,-117.155737
104,Downtown,10-1120,32.717577,-117.155783
105,Downtown,10-1121,32.717673,-117.15554
106,Downtown,10-1122,32.717785,-117.155869
107,Downtown,10-1124,32.717791,-117.155867
108,Downtown,10-1201,32.717942,-117.155923
109,Downtown,10-1203,32.717977,-117.155957
110,Downtown,10-1205,32.718097,-117.15588
111,Downtown,10-1209,32.718071,-117.155543
112,Downtown,10-1211,32.718265,-117.155544
113,Downtown,10-1219,32.71846,-117.155546
114,Downtown,10-1221,32.718654,-117.155548
115,Downtown,10-303,32.708285,-117.155437
116,Downtown,10-305,32.708418,-117.155507
117,Downtown,10-307,32.708431,-117.155539
118,Downtown,10-309,32.708648,-117.155592
119,Downtown,10-311,32.70889,-117.155714
120,Uptown,10-3807,32.748223,-117.155182
121,Uptown,10-3809,32.748031,-117.155215
122,Uptown,10-3811,32.748102,-117.155249
123,Uptown,10-3812,32.748098,-117.155321
124,Uptown,10-3813,32.748115,-117.155166
125,Uptown,10-3814,32.748067,-117.155421
126,Uptown,10-3815,32.748155,-117.155193
127,Uptown,10-3816,32.748035,-117.155422
128,Uptown,10-3817,32.74818,-117.155211
129,Uptown,10-3818,32.748158,-117.155413
130,Uptown,10-3819,32.748075,-117.155214
131,Uptown,10-3820,32.748301,-117.155282
132,Uptown,10-3822,32.748164,-117.155434
133,Uptown,3807-10-01 00:00:00,32.748223,-117.155182
134,Uptown,3809-10-01 00:00:00,32.748031,-117.155215
135,Uptown,3811-10-01 00:00:00,32.748102,-117.155249
136,Uptown,3812-10-01 00:00:00,32.748098,-117.155321
137,Uptown,3813-10-01 00:00:00,32.748135,-117.155238
