date,station,PRCP,TAVG,TMAX,TMIN
2018-01-01,GHCND:USW00023188,0.0,13.8,18.9,10.6
2018-01-02,GHCND:USW00023188,0.0,15.8,22.2,12.2
2018-01-03,GHCND:USW00023188,0.0,16.4,19.4,13.3
2018-01-04,GHCND:USW00023188,0.0,16.6,21.1,12.2
2018-01-05,GHCND:USW00023188,0.0,17.4,22.8,13.3
2018-01-06,GHCND:USW00023188,0.0,16.6,20.0,15.0
2018-01-07,GHCND:USW00023188,0.0,16.1,18.9,13.3
2018-01-08,GHCND:USW00023188,4.1,17.6,20.6,16.1
2018-01-09,GHCND:USW00023188,39.9,17.1,18.3,13.3
2018-01-10,GHCND:USW00023188,0.5,14.7,16.7,12.8
2018-01-11,GHCND:USW00023188,0.0,14.4,20.0,10.6
2018-01-12,GHCND:USW00023188,0.0,14.8,19.4,10.6
2018-01-13,GHCND:USW00023188,0.0,16.0,26.1,11.1
2018-01-14,GHCND:USW00023188,0.0,18.9,25.6,13.3
2018-01-15,GHCND:USW00023188,0.0,16.4,21.1,11.1
2018-01-16,GHCND:USW00023188,0.0,15.6,20.0,12.2
2018-01-17,GHCND:USW00023188,0.0,16.1,22.2,11.7
2018-01-18,GHCND:USW00023188,0.0,15.7,20.0,12.2
2018-01-19,GHCND:USW00023188,0.3,15.8,17.2,13.9
2018-01-20,GHCND:USW00023188,0.0,14.8,16.7,12.2
2018-01-21,GHCND:USW00023188,0.0,13.2,17.2,8.9
2018-01-22,GHCND:USW00023188,0.0,13.3,18.9,8.9
2018-01-23,GHCND:USW00023188,0.0,14.0,20.6,8.3
2018-01-24,GHCND:USW00023188,0.0,16.1,23.9,8.9
2018-01-25,GHCND:USW00023188,0.5,14.0,17.8,8.3
2018-01-26,GHCND:USW00023188,0.0,13.9,17.8,11.1
2018-01-27,GHCND:USW00023188,0.0,13.6,20.6,8.3
2018-01-28,GHCND:USW00023188,0.0,16.3,27.8,10.0
2018-01-29,GHCND:USW00023188,0.0,19.2,27.8,12.2
2018-01-30,GHCND:USW00023188,0.0,20.8,28.3,15.0
2018-01-31,GHCND:USW00023188,0.0,18.7,23.3,12.2
2018-02-01,GHCND:USW00023188,0.0,16.6,27.2,11.7
2018-02-02,GHCND:USW00023188,0.0,16.9,25.0,12.2
2018-02-03,GHCND:USW00023188,0.0,17.8,24.4,11.7
2018-02-04,GHCND:USW00023188,0.0,17.3,25.6,11.1
2018-02-05,GHCND:USW00023188,0.0,15.8,18.9,11.1
2018-02-06,GHCND:USW00023188,0.0,15.6,17.8,13.9
2018-02-07,GHCND:USW00023188,0.0,15.9,23.9,11.7
2018-02-08,GHCND:USW00023188,0.0,17.4,23.3,10.6
2018-02-09,GHCND:USW00023188,0.0,15.9,17.8,10.6
2018-02-10,GHCND:USW00023188,0.0,15.6,17.8,14.4
2018-02-11,GHCND:USW00023188,0.0,16.2,20.6,12.2
2018-02-12,GHCND:USW00023188,0.0,16.6,17.8,13.3
2018-02-13,GHCND:USW00023188,0.0,14.8,18.3,11.7
2018-02-14,GHCND:USW00023188,0.0,16.9,21.1,13.3
2018-02-15,GHCND:USW00023188,0.0,16.5,21.1,13.3
2018-02-16,GHCND:USW00023188,0.0,17.5,24.4,13.3
2018-02-17,GHCND:USW00023188,0.0,17.1,24.4,10.0
2018-02-18,GHCND:USW00023188,0.0,16.3,20.0,11.7
2018-02-19,GHCND:USW00023188,0.0,14.9,16.1,10.0
2018-02-20,GHCND:USW00023188,0.0,11.3,15.6,7.2
2018-02-21,GHCND:USW00023188,0.0,11.4,15.6,7.8
2018-02-22,GHCND:USW00023188,1.0,11.9,15.6,8.3
2018-02-23,GHCND:USW00023188,0.0,12.8,14.4,10.0
2018-02-24,GHCND:USW00023188,0.0,11.7,17.2,6.7
2018-02-25,GHCND:USW00023188,0.0,12.7,18.9,7.8
2018-02-26,GHCND:USW00023188,0.0,14.1,16.7,10.6
2018-02-27,GHCND:USW00023188,8.1,12.8,14.4,9.4
2018-02-28,GHCND:USW00023188,0.0,11.1,15.6,7.8
2018-03-01,GHCND:USW00023188,0.0,12.7,17.2,8.9
2018-03-02,GHCND:USW00023188,0.0,13.3,18.9,9.4
2018-03-03,GHCND:USW00023188,5.8,14.8,17.8,12.2
2018-03-04,GHCND:USW00023188,0.3,13.8,16.7,10.6
2018-03-05,GHCND:USW00023188,0.0,13.9,21.1,8.3
2018-03-06,GHCND:USW00023188,0.0,17.1,23.3,11.1
2018-03-07,GHCND:USW00023188,0.0,16.8,22.8,12.2
2018-03-08,GHCND:USW00023188,0.0,16.6,20.6,13.3
2018-03-09,GHCND:USW00023188,0.0,16.0,19.4,12.2
2018-03-10,GHCND:USW00023188,9.1,15.4,15.6,14.4
2018-03-11,GHCND:USW00023188,0.0,16.6,20.0,15.6
2018-03-12,GHCND:USW00023188,0.0,17.1,20.0,15.6
